#separator:tab
#html:true
#guid column:1
#notetype column:2
#tags column:15
"kWy{1b#Y;$"	Universal German word template	Störung	помеха, нарушение, сбой		die	Störungen				Es gab eine Störung im Zugverkehr.	Произошел сбой в движении поездов.	Durch die Störung konnte der Fernseher nicht richtig funktionieren.	Из-за помех телевизор не мог нормально работать.			chatgpt
k~A<4OE199	Universal German word template	scheinen	"<ul><li>светить</li><li>казаться</li>
</ul>"				scheint	haben geschienen	schien	Die Sonne scheint.	Солнце светит.	Mir scheint, du hast recht.	Мне кажется, ты прав.	Es scheint, dass er krank ist.	Кажется, что он болен.	A1 chatgpt
nx%D3F}H%2	Universal German word template	Steinbock	"<ul><li>Козерог</li><li>горный альпийский козел</li>
</ul>"		der	Steinböcke										chatgpt
fp__te1T$t	Universal German word template	schreiben	писать, записывать				schreibt	haben geschrieben	schrieb	Er schreibt jeden Tag fünfzig E-Mails.	Он пишет каждый день пятьдесят электронных писем.	Ich schreibe einen Brief.	Я пишу письмо.	Kannst du mir schreiben?	Ты можешь мне написать?	A1 chatgpt
t/A/M1k5pH	Universal German word template	Schlauch	<div>шланг</div>		der	Schläuche				Der Gärtner rollte den Schlauch zusammen.	Садовник свернул шланг.					chatgpt
w&MYpn;Nbq	Universal German word template	Schwächling	слабак, безвольный человек		der	Schwächlinge				Die Feinde bezeichneten ihn als Schwächling, aber er bewies seine Stärke im Kampf.	Враги называли его слабаком, но он доказал свои силы в бою.					
dF/uDefD6E	Universal German word template	schmoren	тушить (еду), томить				schmort	haben geschmort	schmorte	Das Fleisch muss etwa zwei Stunden lang schmoren.	Мясо должно тушиться около двух часов.					chatgpt
LP|r_eS?sK	Universal German word template	Speisekarte	меню		die	Speisekarten				Können Sie mir bitte die Speisekarte bringen?	Не могли бы вы принести мне, пожалуйста, меню?	Ich kann mich nicht entscheiden, was ich von der Speisekarte bestellen soll.	Я не могу решить, что заказать из меню.	Die Speisekarte in diesem Restaurant ist sehr vielfältig.	Меню в этом ресторане очень разнообразное.	A1 chatgpt
QO`m)r;k)X	Universal German word template	seltsam	необычный, странный, особенный<br><ul></ul>	"<ul><li><div><strong class=""spoiler"">Merkwürdig</strong> - обозначает нечто странное, вызывающее удивление или подозрение. Это слово можно использовать, когда что-то кажется вам непонятным или нелогичным.</div></li><li><div><strong class=""spoiler"">Seltsam</strong> - является довольно универсальным словом для описания чего-то странного или необычного. Оно подходит для множества контекстов, в которых что-то отклоняется от обычного или ожидаемого.</div></li><li><div><strong class=""spoiler"">Eigenartig</strong> - также обозначает что-то странное, но с акцентом на уникальность или индивидуальные особенности. Это слово может подразумевать, что что-то имеет свою собственную, особенную характеристику, которая отличает его от других.</div></li><li><div><strong class=""spoiler"">Sonderbar</strong> - нечто странное или необычное, что может вызывать недоумение. Оно может быть использовано в контексте, где что-то не соответствует общепринятым нормам или ожиданиям.</div></li><li><div><strong class=""spoiler"">Komisch</strong> - это слово имеет двойственное значение: оно может обозначать как ""странный"", так и ""смешной"". В зависимости от контекста, оно может быть использовано, чтобы выразить смех или удивление.</div></li><li><div><strong class=""spoiler"">Kurios</strong> - обычно используется для описания чего-то удивительного или вызывающего любопытство, возможно, даже с элементом удивления или развлечения.</div></li></ul>"												chatgpt
i~I1_Rl=]w	Universal German word template	Schütze	"<ul><li>Стрелец (созвездие)</li><li>стрелок</li>
</ul>"		der	Schützen				Er ist ein guter Schütze.	Он хороший стрелок.					chatgpt
CxQ-,>Gv)@	Universal German word template	stehlen	воровать, красть				stiehlt	haben gestohlen	stahl	Er wurde erwischt, als er versuchte, ein Auto zu stehlen.	Его поймали, когда он пытался украсть автомобиль.	Sie kann nicht glauben, dass ihr bester Freund ihr Geld gestohlen hat.	Она не может поверить, что её лучший друг украл у неё деньги.	In der Legende gibt es einen Helden, der den Armen hilft, indem er den Reichen stiehlt.	В легенде есть герой, который помогает беднякам, крадя у богатых.	chatgpt
i(,{NBaTI8	Universal German word template	Schiff	корабль, судно<br><ul></ul>		das	Schiffe				Das Schiff wird morgen den Hafen verlassen.	Корабль покинет порт завтра.	Er arbeitet auf einem großen Schiff.	Он работает на большом корабле.	Das Schiff ist auf dem offenen Meer.	Корабль находится в открытом море.	chatgpt
IyfY5q|GI*	Universal German word template	speziell	специальный, особый, специфический							Diese Aufgabe ist speziell für dich.	Это задание специально для тебя.	Er hat sehr spezielle Interessen.	У него очень специфические интересы.			chatgpt
p<i-hgYavh	Universal German word template	streicheln	гладить, ласкать, поглаживать				streichelt	haben gestreichelt	streichelte	Er streichelte sanft die Katze.	Он нежно погладил кошку.					chatgpt
OYLv%62ZKK	Universal German word template	Schlaf	сон		der	—				Ich brauche mehr Schlaf, um mich besser zu fühlen.	Мне нужно больше сна, чтобы чувствовать себя лучше.	Ich muss früher aufstehen, aber ich kann einfach keinen Schlaf halten.	Мне нужно вставать раньше, но я просто не могу уснуть.			chatgpt
n{m?Fo:KLl	Universal German word template	Strand	пляж		der	Strände				Im Urlaub bin ich am liebsten am.	Мое любимое место в отпуске - пляж.					
b|%u~g%``9	Universal German word template	Supermarkt	супермаркет		der	Supermärkte										chatgpt
m54;$5e9Zp	Universal German word template	Sonne	солнце		die	Sonnen				Die Sonne scheint.	Солнце светит.	Die Sonne ist sehr hell.	Солнце очень яркое.	Ich sehe die Sonne am Himmel.	Я вижу солнце на небе.	A1 chatgpt
NW]Dk9ibB^	Universal German word template	Strandpromenade	набережная		die	Strandpromenaden				Wir gingen abends auf der Strandpromenade spazieren.	Мы вечером гуляли по набережной.	Auf der Strandpromenade gibt es viele Restaurants und Cafés.	На набережной много ресторанов и кафе.			chatgpt
MW*j%4Rzf(	Universal German word template	steigen	<ul><li>подниматься, взбираться, повышаться, увеличиваться</li><li>всходить (о растениях)<br></li></ul>				steigt	sein gestiegen	stieg	Die Temperaturen steigen schnell.	Температуры быстро повышаются.	Die Preise für Lebensmittel sind gestiegen.	Цены на продовольствие выросли.			chatgpt
jUo-;Fg-3C	Universal German word template	Schicksal	судьба, участь		das	Schicksale				Du kannst dein Schicksal nicht ändern; es liegt in deinen Händen, wie du darauf reagierst.	Ты не можешь изменить свою судьбу; от тебя зависит, как ты на неё отреагируешь.	Die Legende besagt, dass das Schicksal der beiden Liebenden durch die Sterne bestimmt wurde.	Легенда гласит, что судьба двух влюблённых была предопределена звёздами.			chatgpt
w?jG$?Md|/	Universal German word template	somit	таким образом,&nbsp;следовательно, значит	"<ol><li><div><strong class=""spoiler"">Somit</strong>: Это слово чаще всего используется в более формальном или академическом контексте. Оно указывает на логическое заключение или итог, который следует из предыдущего утверждения.</div></li><li><div><strong class=""spoiler"">Daher</strong>: Это слово также указывает на следствие, но может использоваться и в менее формальных ситуациях. ""Daher"" часто употребляется в разговорной речи и в письменных текстах.</div></li><li><div><strong class=""spoiler"">Deshalb</strong>: Это слово, возможно, самое универсальное из трёх и может использоваться в различных контекстах, включая как формальные, так и неформальные ситуации. Оно часто используется для обозначения причинно-следственных связей и может заменять ""daher"" или ""somit"" в большинстве контекстов.</div></li></ol>"						Das Team hat das Spiel verloren, somit sind sie aus dem Turnier ausgeschieden.	Команда проиграла матч, следовательно, они выбыли из турнира.	Es regnet, somit müssen wir unser Picknick absagen.	Идет дождь, таким образом, нам придется отменить пикник.			chatgpt
fsHn;F?FL!	Universal German word template	Saft	сок		der	Säfte				Möchtest du einen Apfelsaft?	Ты хочешь яблочный сок?	Ich trinke gerne Orangensaft zum Frühstück.	Я люблю пить апельсиновый сок на завтрак.	Hast du Saft im Kühlschrank?	У тебя есть сок в холодильнике?	A1 chatgpt
t^m6Vetlvj	Universal German word template	spontan	спонтанный							Er hat spontan beschlossen, eine Weltreise zu machen	Он спонтанно решил отправиться в кругосветное путешествие	Wir haben spontan eine Party veranstaltet	Мы спонтанно устроили вечеринку			chatgpt
I_h-9G+>:$	Universal German word template	Sieg	победа		der	Siege				Wir feiern den Sieg unserer Mannschaft.	Мы празднуем победу нашей команды.	Der Sieg war nach einem langen Kampf endlich erreicht.	Победа была наконец достигнута после долгой борьбы.	Der Kandidat errang einen klaren Sieg bei den Wahlen.	Кандидат одержал убедительную победу на выборах.	chatgpt
k4@Sq3;;]_	Universal German word template	schade	жаль	Syn: traurig, bedauerlich, leid						Es ist so schade, dass Peter nicht zu meinem Geburtstag kommen kann.	Очень жаль, что Питер не может приехать на мой день рождения.					
vHrEVD{^Y9	Universal German word template	sogar	даже							Er hat sogar das ganze Buch gelesen.	Он даже прочитал всю книгу.	Ich bin so überrascht, sie kann sogar Deutsch sprechen.	Я так удивлен, она даже может говорить по-немецки.	Es war eine so großartige Party, dass sogar die Nachbarn gekommen sind.	Это была такая великолепная вечеринка, что даже соседи пришли.	chatgpt
x50JCk|MDW	Universal German word template	scheu	застенчивый, робкий, скромный							Er hat eine scheue Art, die manchmal missverstanden wird.	У него застенчивый нрав, который иногда неправильно понимают.	Sei nicht so scheu und sprich mit ihr!	Не будь таким стеснительным и поговори с ней!			chatgpt
CPi6>5n4y4	Universal German word template	sparen	<ul><li>экономить</li><li>копить</li></ul>				spart	haben gespart	sparte	Lass uns mal Strom sparen, die Rechnung wird sonst zu hoch.	Давайте экономить электроэнергию, иначе счет будет слишком высоким.	Mein Neffe hat schon 100 Euro gespart.	Мой племянник уже накопил 100 евро.			
A>$k*eFtN7	Universal German word template	senden	"<ul><li>посылать</li><li>передавать</li>
</ul>"				sendet	haben gesendet	sendete	Er sendet eine Nachricht.	Он отправляет сообщение.	Am Wochenende senden wir unser Wunschkonzert aus Travemünde.	В эти выходные мы будем транслировать концерт нашей мечты из Травемюнде.			
b:yUZtY8R$	Universal German word template	Stadt	город		die	Städte				Heidelberg ist eine alte Stadt.	Гейдельберг - старый город.	Ich wohne in einer kleinen Stadt.	Я живу в маленьком городе.	Die Stadt hat viele Geschäfte.	В городе много магазинов.	A1 chatgpt
HWb5!Ro;?	Universal German word template	stellen	<ul><li>(по)ставить</li><li>задержать</li></ul>				stellt	haben gestellt	stellte	Er hat die Bücher auf das Regal gestellt.	Он поставил книги на полку.	Ich muss eine Frage stellen.	Мне нужно задать (поставить) вопрос.			A1 chatgpt
C!v:bu._>&	Universal German word template	sieben	семь													A1
svR,4nPiYz	Universal German word template	Stipendium	стипендия		das	Stipendien										chatgpt
q$,9MqZ3gh	Universal German word template	Steuer	"<ul><li>налог</li><li>руль, штурвал</li>
</ul>"		"<ul><li>das – руль, штурвал</li><li>die – налог</li>
</ul>"	"<ul><li>Steuer – руль, штурвал</li><li>Steuern – налог</li>
</ul>"				Er hat seine Steuererklärung noch nicht abgegeben.	Он ещё не подал свою налоговую декларацию.	Das Schiff wird mit einem Steuer gesteuert.	Корабль управляется с помощью руля.	Die Steuer auf Benzin ist wieder gestiegen.	Налог на бензин снова поднялся.	chatgpt
j)c;F|pV];	Universal German word template	stattfinden	"<ul><li>иметь место</li><li>состояться</li>
</ul>"				findet statt	haben stattgefunden	fand statt	Das Konzert findet im Park statt.	Концерт будет проходить в парке.	Der Protest wird vor dem Rathaus stattfinden.	Протест пройдет перед ратушей.			
I}mW%.$8P}	Universal German word template	stammen	происходить, произошедший, родом	Syn: herrühren, ausgehen, kommen, herkommen			stammt	haben gestammt	stammte	Ich stamme aus einer kleinen Stadt an der Donau.	Я родом из маленького городка на Дунае.					
tmr-Un}$Pa	Universal German word template	Streit	спор		der	Streite				Sie hatten gestern einen großen Streit.	Вчера у них был большой спор.	Der Streit um die Grenzziehung zwischen den Ländern dauert schon Jahre an.	Спор по поводу определения границ между странами длится уже много лет.			chatgpt
s6*aCo2Yf$	Universal German word template	Stoff	"<ul><li>сюжет</li><li>материя</li>
<li>вещество</li>
</ul>"		der	Stoffe				Der Stoff wird dir gefallen.	Вам понравится эта ткань.	Der Stoff brennt dich nieder.	Вещество сожжет тебя дотла.			
"H~#d[>8k$9"	Universal German word template	Schritt	шаг	Обозначает действия или этапы в каком-либо процессе, а также буквально движения ногами при ходьбе.	der	Schritte				Er erklärte die Schritte, um das Problem zu lösen.	Он объяснил шаги для решения проблемы.	Nach einigen Schritten erreichten sie den Gipfel des Berges.	После нескольких шагов они достигли вершины горы.			chatgpt
pTq3ek>$NW	Universal German word template	Stimmung	<ul><li>настроение, настрой</li><li>атмосфера, ощущение, аура</li></ul>	"<ul><li><div><strong class=""spoiler"">Stimmung</strong>&nbsp;— Это слово переводится как ""настроение"" или ""атмосфера"". Оно может относиться как к внутреннему состоянию человека, так и к общей атмосфере в группе или на мероприятии. Например, можно говорить о хорошей или плохой ""Stimmung"" на вечеринке.</div></li><li><div><strong class=""spoiler"">Laune</strong>&nbsp;— Это слово ближе к ""причуде"" или ""капризу"" и чаще всего используется для описания более изменчивого и мимолётного настроения. ""Laune"" может быстро меняться и часто зависит от внешних обстоятельств или внутренних переживаний человека.</div></li></ul>"	die	Stimmungen				Die Stimmung auf der Party war fantastisch.	Настроение на вечеринке было фантастическим.	Die politische Stimmung im Land ist angespannt.	Политическая обстановка в стране напряженная.	Das Konzert hat die Stimmung der Zuschauer gehoben.	Концерт поднял настроение зрителей.	chatgpt
J9O/tqf|+h	Universal German word template	Spaten	лопата	Syn: Schaufel	der	Spaten										
"BJ/7aGYq#g"	Universal German word template	Schaufel	лопата	Syn: Spaten	die	Schaufeln										
ur2`Uo~kr>	Universal German word template	stimmen	голосовать, быть правдой, соглашаться				stimmt	haben gestimmt	stimmte	Meine Adresse stimmt nicht mehr.	Мой адрес больше не верен.					
Jz)*nkE9<:	Universal German word template	schwül	душный, влажный							Das Wetter ist heute ziemlich schwül.	Погода сегодня довольно душная.	Ich kann nicht gut schlafen, wenn es schwül ist.	Я не могу хорошо спать, когда на улице душно.	In tropischen Ländern kann es oft sehr schwül sein.	В тропических странах часто бывает очень душно.	chatgpt
txmJjFJmS9	Universal German word template	Strecke	маршрут	Syn: die Route, das Weg, der Fahrt, der Kurs	die	Strecken				Sind Sie die ganze Strecke zu Fuß gegangen?	Вы прошли всю дистанцию?	Auf der Strecke München – Salzburg: 8 km Stau.	На трассе Мюнхен - Зальцбург: пробка длиной 8 км.	Ich möchte nach Hamburg fahren. Können Sie mir sagen, welche Strecke	Я хотел бы доехать до Гамбурга. Подскажите, пожалуйста, какой маршрут лучше выбрать?	
xWe8x,4aVE	Universal German word template	Schatten	тень	Syn: die Schattierung, die Dunkelheit, die Finsternis	der	Schatten				Gestern hatten wir 25 Grad im Schatten.	Вчера у нас было 25 градусов в тени.					
I9HsK6-{Y=	Universal German word template	sinnen	думать, размышлять	"<ol><li><div>""Sinnen"" (nachdenken):</div><ul><li>""Sinnen"" означает размышлять, обдумывать или задумываться. Этот глагол подразумевает глубокие и интенсивные мыслительные процессы, которые могут быть связаны с размышлениями о жизни, принятии решений или разгадывании сложных проблем.</li></ul></li><li><div>""Denken"":</div><ul><li>""Denken"" просто означает думать. Этот глагол обозначает общий процесс мышления, включая любые размышления, рассуждения, планирование и рефлексию.</li></ul></li><li><div>""Glauben"":</div><ul><li>""Glauben"" означает верить. Этот глагол связан с формированием убеждений или верований, основанных на личных убеждениях, религиозных или культурных факторах.</li></ul></li><li><div>""Überlegen"":</div><ul><li>""Überlegen"" обозначает обдумывать, обсуждать или рассматривать. Этот глагол употребляется, когда вы анализируете варианты, обсуждаете их или ищете лучшее решение.</li></ul></li><li><div>""Erwägen"":</div><ul><li>""Erwägen"" означает взвешивать или рассматривать. Этот глагол используется, когда вы серьезно обдумываете предложенные варианты или решения.</li></ul></li><li><div>""Bedenken"":</div><ul><li>""Bedenken"" означает сомневаться или иметь опасения. Этот глагол связан с некоторыми сомнениями или страхами относительно каких-либо планов или решений.</li></ul></li></ol>"			sinnt	hat gesonnen		Wir sollten auf eine bessere Zukunft sinnen.	Мы должны думать о лучшем будущем.	Sie sinnen auf Rache.	Они замышляют месть.			chatgpt
v6+H`89?I3	Universal German word template	Süden	юг		der	—				Deutschland liegt nördlich von den Alpen und im Süden von Dänemark.	Германия находится к северу от Альп и на юге от Дании.	Wir fahren im Sommer immer in den Süden.	Летом мы всегда едем на юг.	Der Wind kommt aus dem Süden.	Ветер идет с юга.	A1 chatgpt
k/D=6+BiRS	Universal German word template	Schlange	"<ul><li>змея</li><li>очередь (разг.)</li>
</ul>"		die	Schlangen										
he</VY(Tv%	Universal German word template	schließlich	в конце концов, наконец, в итоге							Schließlich ist es wichtig, auf die Umwelt zu achten.	В конечном счете важно заботиться об окружающей среде.					chatgpt
NNcao^Hwdm	Universal German word template	schwierig	трудный, сложный	Syn: kompliziert						Diese Matheaufgabe ist sehr schwierig.	Эта математическая задача очень сложная.					chatgpt
uM@M3)pqkS	Universal German word template	speichern	<ul><li>сохранять</li><li>накапливать</li></ul>	"<ul><li><div><strong class=""spoiler"">Speichern</strong> - Это слово часто используется в контексте сохранения данных или энергии. Оно может быть переведено как ""сохранять"" или ""запоминать"". Пример: данные сохраняются на жестком диске компьютера - ""Daten werden auf der Festplatte gespeichert"".</div></li><li><div><strong class=""spoiler"">Erhalten</strong> - Это слово имеет более широкое использование и может переводиться как ""сохранять"", ""поддерживать"" или ""получать"". Оно может относиться как к физическому сохранению объекта в неизменном состоянии, так и к поддержанию некоторых условий или статусов. Пример: сохранять традиции - ""Traditionen erhalten"".</div></li><li><div><strong class=""spoiler"">Bewahren</strong> - Это слово часто используется в смысле защиты от потери, ущерба или изменений. Оно может быть переведено как ""сохранять"", ""охранять"" или ""беречь"". Это слово может использоваться в контексте защиты чего-то ценного или важного. Пример: сохранять спокойствие в сложной ситуации - ""Ruhe bewahren"".</div></li><li><div><strong class=""spoiler"">Schonen</strong> - Это слово имеет уникальное значение, связанное с идеей ""бережного отношения"" или ""избегания излишней нагрузки"". Оно может быть использовано в контексте экономии ресурсов, заботы о здоровье или оберегания чего-то от износа. Пример: беречь свои силы - ""seine Kräfte schonen"".</div></li></ul>"			speichert	haben gespeichert	speicherte	Die Fotos werden automatisch in der Cloud gespeichert.	Фотографии автоматически сохраняются в облаке.	Bitte speichern Sie die Änderungen, bevor Sie das Programm schließen.	Пожалуйста, сохраните изменения перед тем, как закрыть программу.	Dieses alte Gebäude speichert Wärme sehr gut.	Это старое здание очень хорошо сохраняет тепло.	chatgpt
n,mkdQrpqp	Universal German word template	Substantiv	существительное	"<ol><li><div><strong class=""spoiler"">Nomen</strong>: Это более общий термин, который может включать в себя все типы именных слов в языке, включая существительные (Substantive), прилагательные (Adjektive), числительные (Numeralien) и местоимения (Pronomen).</div></li><li><div><strong class=""spoiler"">Substantiv</strong>: Этот термин более специфичен и относится исключительно к существительным. Он используется для обозначения слов, которые называют предметы, лица, явления, понятия и так далее.</div></li></ol>"	das	Substantive										
OXkr!.T+1b	Universal German word template	siebzig	семьдесят													A1
vzF/U;;z&s	Universal German word template	Stimme	<ul><li>голос (произношение звуков)</li><li>голосование, мнение</li></ul>		die	Stimmen				Deine Stimme klingt heute etwas heiser.	Твой голос сегодня звучит немного хрипло.	Bei der Wahl gab ich meine Stimme einem lokalen Kandidaten.	На выборах я отдал свой голос местному кандидату.			chatgpt
JUp]y,Q47V	Universal German word template	schauen	(по)смотреть	"<ul><li><div>""<b class=""spoiler"">Sehen</b>"" является более общим термином для обозначения зрительного восприятия и может использоваться в любом контексте, когда речь идет о физической способности видеть или о том, что кто-то видит или замечает что-либо. Например, ""Ich kann dich nicht sehen"" переводится как ""Я не могу тебя видеть"".</div></li><li><div>""<b class=""spoiler"">Schauen</b>"" часто используется, когда речь идет о намеренном смотрении, например, когда вы смотрите на что-то конкретное или когда вы наблюдаете за чем-то. Это слово также может использоваться в более неформальном контексте. Пример: ""Schau mal hier!"" переводится как ""Посмотри сюда!"".</div></li></ul>"			schaut	haben geschaut	schaute	Kannst du bitte auf meine Katze schauen, während ich weg bin?	Можешь посмотреть за моей кошкой, пока меня нет?	Er schaut aus dem Fenster.	Он смотрит в окно.	Schau mal hier!	Посмотри сюда!	chatgpt
EnkIVI&nez	Universal German word template	Schwimmbad	бассейн		das	Schwimmbäder				Kommst du mit ins Schwimmbad?	Ты пойдешь с нами в бассейн?	Wir gehen heute ins Schwimmbad.	Сегодня мы идем в бассейн.	Das Schwimmbad ist am Wochenende geöffnet.	Бассейн открыт по выходным.	A1 chatgpt
l&bM`Ui8h/	Universal German word template	Spur	"<ul><li>полоса движения</li><li>след</li>
<li>трек</li>
</ul>"		die	Spuren										
"E#/JmS2.S#"	Universal German word template	Stress	стресс		der	Stresse										chatgpt
"RbdoX.[@#3"	Universal German word template	sonst	иначе, в противном случае							Ich schließe immer meine Tür ab, sonst könnte ja jeder einfach so hineinkommen.	Я всегда запираю дверь, иначе каждый может просто войти.					
f(tFX$$|Br	Universal German word template	stecken	застрять, засунуть, посадить, поместить, быть				steckt	haben gesteckt	steckte	Wo ist denn mein Pass? Ich hatte ihn doch in die Handtasche gesteckt.	- А где мой паспорт? Я все же положила его в сумочку.	Du kannst reingehen. Der Schlüssel steckt.	Ты можешь войти. Ключ застрял.	Die Zeitung steckt im Briefkasten.	Газета лежит в почтовом ящике.	
"LMERF(11[#"	Universal German word template	Sitzung	заседание, собрание							Bitte nehmen Sie Platz, die Sitzung beginnt in wenigen Minuten.	Пожалуйста, присаживайтесь, заседание начнется через несколько минут.					chatgpt
Q+MosX=8@+	Universal German word template	Seife	мыло		die	Seifen				Bitte gib mir die Seife.	Пожалуйста, дай мне мыло.	Die Seife duftet nach Lavendel.	Мыло пахнет лавандой.			chatgpt
L;DI=8;?=|	Universal German word template	Schulter	плечо		die	Schultern				Er legte seine Hand auf meine Schulter.	Он положил свою руку мне на плечо.	Sie zuckte nur mit den Schultern und sagte nichts.	Она только пожала плечами и ничего не сказала.	Der Rucksack drückte schwer auf seine Schultern.	Рюкзак сильно давил ему на плечи.	chatgpt
y28$>djVvv	Universal German word template	schnarchen	храпеть				schnarcht	haben geschnarcht	schnarchte	Er schnarcht jede Nacht sehr laut.	Он храпит каждую ночь очень громко.					chatgpt
M912]1/!K^	Universal German word template	schwitzen	потеть				schwitzt	haben geschwitzt	schwitzte	Ich habe während des Trainings viel geschwitzt.	Я сильно потел во время тренировки.			Es ist so heiß, dass alle im Büro schwitzen.	Так жарко, что все в офисе потеют.	chatgpt
"dRI%<9q2#4"	Universal German word template	Spitzenplatz	первое место, лидирующая позиция		der	Spitzenplätze				Deutschland behält den Spitzenplatz in der Automobilindustrie.	Германия сохраняет лидирующую позицию в автомобильной промышленности.	Ihr Team hat einen Spitzenplatz in der nationalen Liga erreicht.	Их команда достигла высшего места в национальной лиге.	Auf dem Markt für erneuerbare Energien nimmt das Unternehmen einen Spitzenplatz ein.	На рынке возобновляемой энергии компания занимает лидирующую позицию.	chatgpt
J?==cP$O`=	Universal German word template	Soße	<ul><li>соус, подливка</li></ul>		die	Soßen										
F6[>FOyxmE	Universal German word template	Schicht	<ul><li>смена</li><li>слой, пласт</li></ul>		die	Schichten				Ich arbeite heute die Nachtschicht.	Сегодня я работаю ночную смену.	In diesem Bergwerk gibt es mehrere Kohleschichten.	В этом угольном руднике есть несколько слоев угля.			chatgpt
FsLzn]=ag{	Universal German word template	sechs	шесть													A1
cw&A?C]`=Z	Universal German word template	stören	мешать, нарушать, беспокоить				stört	haben gestört	störte	Entschuldigen Sie, ich möchte Sie nicht beim Arbeiten stören.	Простите, я не хочу вас беспокоить во время работы.	Könnt ihr bitte leiser sein? Ihr stört die Nachbarn.	Не могли бы вы говорить потише? Вы мешаете соседям.	Lärm in der Bibliothek kann andere Besucher stören.	Шум в библиотеке может мешать другим посетителям.	chatgpt
o]2CR1y&76	Universal German word template	Säugetier	млекопитающее		das	Säugetiere										
e-?C,g`JYa	Universal German word template	schöngeistige Literatur	художественная литература													
"ILu^@3E#bu"	Universal German word template	Stier	<ul><li>бык</li><li>телец</li></ul>		der	Stiere				Der Stier in der Arena sah sehr aggressiv aus.	Бык на арене выглядел очень агрессивно.					chatgpt
hLk(~DSC6K	Universal German word template	sechzehn	шестнадцать													A1
giCIp=Cy;i	Universal German word template	sperren	блокировать, запирать, перекрывать				sperrt	haben gesperrt	sperrte	Die Bank hat meine Karte gesperrt, weil sie vermutlich geklaut wurde.	Банк заблокировал мою карту, потому что, вероятно, она была украдена.	Nach dem Unfall mussten sie die Straße für mehrere Stunden sperren.	После аварии им пришлось перекрыть дорогу на несколько часов.	Die Behörden haben die Benutzung des Sees wegen der Verschmutzung gesperrt.	Власти запретили использование озера из-за загрязнения.	chatgpt
wu+>ImVL`P	Universal German word template	Schalter	"<ul><li>выключатель</li><li>касса, окошечко кассы (на почте, в банке, на вокзале)<br></li>
</ul>"		der	Schalter				Der Schalter für das Licht befindet sich neben der Tür.	Выключатель для света находится рядом с дверью.	Am Bahnhof steht eine lange Schlange am Schalter.	На вокзале длинная очередь к кассе.	Bitte ziehen Sie eine Nummer am Schalter.	Пожалуйста, возьмите номерок у стойки.	A1 chatgpt
"k#[gYks[,:"	Universal German word template	sprechen	говорить, разговаривать, высказываться	"<ul><li><div><strong class=""spoiler"">mit (D)</strong>: означает ""с"" в значении участия, сотрудничества или использования чего-либо в процессе разговора.</div><ul><li>Пример: Ich spreche oft mit meinem Bruder über Politik.</li><li>Перевод: Я часто говорю с моим братом о политике.</li></ul></li><li><div><strong class=""spoiler"">über (A)</strong>: означает ""о"" или ""об"" в значении предмета разговора.</div><ul><li>Пример: Wir sprechen über das neue Buch.</li><li>Перевод: Мы говорим о новой книге.</li></ul></li><li><div><strong class=""spoiler"">von (D)</strong>: означает ""от"" или ""о"" в значении исходной точки или темы разговора.</div><ul><li>Пример: Er spricht oft von seinen Reisen.</li><li>Перевод: Он часто говорит о своих путешествиях.</li></ul></li><li><div><strong class=""spoiler"">zu (D)</strong>: означает ""к"" в значении направления разговора, интереса или внимания к чему-либо.</div><ul><li>Пример: Sie spricht zu mir über ihre Pläne.</li><li>Перевод: Она говорит со мной о своих планах.</li></ul></li></ul>"			spricht	haben gesprochen	sprach	Kann ich (mit) Herrn Klein sprechen?	Могу ли я поговорить с господином Кляйном?	Ich spreche Deutsch.	Я говорю по-немецки.	Wir sprechen über das Wetter.	Мы говорим о погоде.	A1 chatgpt
ly6^l64H@7	Universal German word template	staatlich	государственный							Die staatliche Universität bietet viele Forschungsmöglichkeiten.	Государственный университет предлагает множество возможностей для исследований.	Staatliche Fördermittel können kleinen Unternehmen helfen, zu wachsen.	Государственные субсидии могут помочь малым предприятиям расти.			chatgpt
d,$o]Ng{aV	Universal German word template	Schwiegermutter	теща, свекровь		die	Schwiegermütter										
EfW:0lZX.>	Universal German word template	Schreck	испуг		der	Schrecke				Ich habe einen großen Schreck bekommen.	Я сильно испугался.					chatgpt
we.5v3&_[,	Universal German word template	Senf	горчица		der	Senfe				Zum Grillfleisch passt immer ein bisschen Senf.	К мясу на гриле всегда подходит немного горчицы.					chatgpt
Nw0Ys9JJ,V	Universal German word template	stehen	стоять				steht	haben gestanden	stand	Ich glaube es nicht, aber es steht in der Zeitung.	Я не верю этому, но это написано в газете.	Der Bus steht schon an der Haltestelle.	Автобус уже стоит на остановке.			A1
xI,aO4<5yL	Universal German word template	Spitzenklasse	высший класс, элита		die	Spitzenklassen				Das Restaurant wurde für seine Spitzenklasse Küche mehrfach ausgezeichnet.	Ресторан неоднократно был награжден за свою кухню высшего класса.					chatgpt
ntt+j+H=+I	Universal German word template	Schale	кожура, чаша	Syn: der Teller, der Becher	die	Schalen				Kannst du die Äpfel in die Schale dort legen?	Вы можете положить яблоки в миску?	Ich esse mein Müsli jeden Morgen aus einer Schale.	Я ем свою кашу каждое утро из миски.	Die Schale der Orange ist sehr aromatisch und kann zum Backen verwendet werden.	Кожура апельсина очень ароматная и может быть использована для выпечки.	chatgpt
